dataMessageGUID,sensorID,messageDate,state,signalStrength,voltage,battery,rawData,displayData,plotValue,metNotificationRequirements,gatewayID,dataValue,dataType,plotValues,plotLabels,applicationID,sensorName,accountID
d732bda8-2415-42b4-8aac-82a969fadda4,518781,2020-11-13 21:14:59,0,100,2.8,100,408|4,CO2 Instantaneous: 408 ppm; CO2 TWA: 422 ppm,408,False,947629,408|422,PPM|PPM,408|422,Instantaneous|TWA,106,CO2 Meter - 518781,28135
ffe7f215-0e8b-4630-9c6d-d1d40934f12b,518781,2020-11-13 19:14:59,0,100,2.8,100,405|4,CO2 Instantaneous: 405 ppm; CO2 TWA: 433 ppm,405,False,947629,405|433,PPM|PPM,405|433,Instantaneous|TWA,106,CO2 Meter - 518781,28135
091b8b03-868e-450c-aa0f-074fe1ed3f01,518781,2020-11-13 17:14:59,0,100,2.8,100,426|4,CO2 Instantaneous: 426 ppm; CO2 TWA: 439 ppm,426,False,947629,426|439,PPM|PPM,426|439,Instantaneous|TWA,106,CO2 Meter - 518781,28135
db46f48b-5bb3-4fb9-838f-a9da3288242b,518781,2020-11-13 15:14:59,0,100,2.8,100,450|4,CO2 Instantaneous: 450 ppm; CO2 TWA: 433 ppm,450,False,947629,450|433,PPM|PPM,450|433,Instantaneous|TWA,106,CO2 Meter - 518781,28135
8928c516-32de-478c-a9c4-8cb314322b16,518781,2020-11-13 13:15:00,0,100,2.8,100,430|4,CO2 Instantaneous: 430 ppm; CO2 TWA: 427 ppm,430,False,947629,430|427,PPM|PPM,430|427,Instantaneous|TWA,106,CO2 Meter - 518781,28135
a4cf32ee-e748-4ce8-bfb0-d742e3b29f50,518781,2020-11-13 11:15:00,0,100,2.8,100,444|4,CO2 Instantaneous: 444 ppm; CO2 TWA: 420 ppm,444,False,947629,444|420,PPM|PPM,444|420,Instantaneous|TWA,106,CO2 Meter - 518781,28135
6d5a691d-1d1c-42d4-9052-121959e0d747,518781,2020-11-13 09:14:59,0,100,2.8,100,408|4,CO2 Instantaneous: 408 ppm; CO2 TWA: 415 ppm,408,False,947629,408|415,PPM|PPM,408|415,Instantaneous|TWA,106,CO2 Meter - 518781,28135
fe6b24d8-9ef1-4614-ae3b-66fc44bc9d2c,518781,2020-11-13 07:15:00,0,100,2.8,100,427|4,CO2 Instantaneous: 427 ppm; CO2 TWA: 415 ppm,427,False,947629,427|415,PPM|PPM,427|415,Instantaneous|TWA,106,CO2 Meter - 518781,28135
63ba16a6-7a28-4a25-beb5-9e2f21177631,518781,2020-11-13 05:14:59,0,100,2.8,100,418|4,CO2 Instantaneous: 418 ppm; CO2 TWA: 412 ppm,418,False,947629,418|412,PPM|PPM,418|412,Instantaneous|TWA,106,CO2 Meter - 518781,28135
baf112cb-43bd-4314-8753-f03c6b7ae863,518781,2020-11-13 03:15:00,0,100,2.81,100,415|4,CO2 Instantaneous: 415 ppm; CO2 TWA: 409 ppm,415,False,947629,415|409,PPM|PPM,415|409,Instantaneous|TWA,106,CO2 Meter - 518781,28135
4d0318dd-95b6-484b-9ed8-2e7e71a6a0b8,518781,2020-11-13 01:14:59,0,100,2.8,100,413|4,CO2 Instantaneous: 413 ppm; CO2 TWA: 409 ppm,413,False,947629,413|409,PPM|PPM,413|409,Instantaneous|TWA,106,CO2 Meter - 518781,28135
a9ac3c66-75b9-42c9-bd6d-9e22552c38e1,518781,2020-11-14 23:14:58,0,100,2.8,100,436|4,CO2 Instantaneous: 436 ppm; CO2 TWA: 412 ppm,436,False,947629,436|412,PPM|PPM,436|412,Instantaneous|TWA,106,CO2 Meter - 518781,28135
9967d3c8-afe1-4bbb-8802-a4bf2a38d77a,518781,2020-11-14 21:14:58,0,100,2.8,100,413|4,CO2 Instantaneous: 413 ppm; CO2 TWA: 407 ppm,413,False,947629,413|407,PPM|PPM,413|407,Instantaneous|TWA,106,CO2 Meter - 518781,28135
bdff839f-717f-49b1-b12f-cfdd6f0a15a4,518781,2020-11-14 19:14:58,0,100,2.8,100,398|4,CO2 Instantaneous: 398 ppm; CO2 TWA: 407 ppm,398,False,947629,398|407,PPM|PPM,398|407,Instantaneous|TWA,106,CO2 Meter - 518781,28135
9c1f7371-e2de-45d9-82e4-3b4f29627e2b,518781,2020-11-14 17:14:58,0,100,2.8,100,409|4,CO2 Instantaneous: 409 ppm; CO2 TWA: 408 ppm,409,False,947629,409|408,PPM|PPM,409|408,Instantaneous|TWA,106,CO2 Meter - 518781,28135
